Size,Time[s],Throughput[GB/s]
32768,.01213300000000000000,.01080293414654248743
65536,.01196060000000000000,.02191729511897396451
131072,.01197120000000000000,.04379577653033948142
262144,.01309660000000000000,.08006474962967487744
524288,.01401240000000000000,.14966401187519625474
1048576,.01747100000000000000,.24007234846316753477
2097152,.02282460000000000000,.36752486352444292561
4194304,.02967200000000000000,.56542248584524130493
8388608,.04869780000000000000,.68903383725753524799
16777216,.07880200000000000000,.85161371538793431638
33554432,.14521240000000000000,.92428558442667430605
67108864,.28653920000000000000,.93681931128445950850
134217728,.45857080000000000000,1.17074814183545921371
268435456,.90701200000000000000,1.18382317323254819120
536870912,1.66130740000000000000,1.29264677205434707628
1073741824,2.96553240000000000000,1.44829552224753976722
