Size,Time[s],Throughput[GB/s]
32768,0.000179,.73224581005586592178
65536,0.000303,.86516171617161716171
131072,0.000611,.85808183306055646481
262144,0.001330,.78840300751879699248
524288,0.002561,.81888012495119094103
1048576,0.005133,.81712526787453730761
2097152,0.010195,.82281589014222658165
4194304,0.020466,.81976038307436724323
8388608,0.040825,.82190892835272504592
16777216,0.081259,.82586376893636397199
33554432,0.162335,.82679476391412819170
67108864,0.326219,.82286885803708551617
134217728,0.699064,.76798535184189144341
268435456,1.418291,.75706736064742707949
536870912,2.653910,.80917726976423465754
1073741824,5.388494,.79706264793094322829
