Size,Time[s],Throughput[GB/s]
32768,0.000013,10.08246153846153846153
65536,0.000017,15.42023529411764705882
131072,0.000026,20.16492307692307692307
262144,0.000043,24.38548837209302325581
524288,0.000096,21.84533333333333333333
1048576,0.000151,27.77684768211920529801
2097152,0.000307,27.32445602605863192182
4194304,0.000592,28.33989189189189189189
8388608,0.001233,27.21365125709651257096
16777216,0.002402,27.93874437968359700249
33554432,0.004779,28.08489809583594894329
67108864,0.009511,28.22368373462306802649
134217728,0.019216,27.93874437968359700249
268435456,0.044980,23.87153899510893730546
536870912,0.079380,27.05320796170319979843
1073741824,0.160916,26.69074110716150041015
2147483648,0.428833,20.03095515503704239179
4294967296,0.878427,19.55753771685068878802
