Size,Time[s],Throughput[GB/s]
32768,0.000003,43.69066666666666666666
65536,0.000004,65.53600000000000000000
131072,0.000007,74.89828571428571428571
262144,0.000013,80.65969230769230769230
524288,0.000029,72.31558620689655172413
1048576,0.000063,66.57625396825396825396
2097152,0.000160,52.42880000000000000000
4194304,0.000542,30.95427306273062730627
8388608,0.001187,28.26826621735467565290
16777216,0.002496,26.88656410256410256410
33554432,0.004278,31.37394296400187003272
67108864,0.012274,21.87025061104774319700
134217728,0.024486,21.92562737891039777832
268435456,0.045981,23.35185889824057762989
536870912,0.089428,24.01354886612694010824
1073741824,0.176276,24.36501449998865415598
2147483648,0.351422,24.44336038153558968988
4294967296,0.711260,24.15413376824227427382
