Size,Time[s],Throughput[GB/s]
32768,0.000152,.86231578947368421052
65536,0.000303,.86516171617161716171
131072,0.000730,.71820273972602739726
262144,0.001315,.79739619771863117870
524288,0.002590,.80971119691119691119
1048576,0.005241,.80028696813585193665
2097152,0.010285,.81561575109382596013
4194304,0.020362,.82394735291228759453
8388608,0.040754,.82334082544044756342
16777216,0.081606,.82235208195475822856
33554432,0.162907,.82389171736021165450
67108864,0.326495,.82217325227032573240
134217728,0.658870,.81483587354106272861
268435456,1.322085,.81215793538236951481
536870912,2.656445,.80840508574429359538
1073741824,5.339721,.80434301642351725867
2147483648,10.780339,.79681488606248838742
4294967296,21.500363,.79905019203629259654
