Size,Time[s],Throughput[GB/s]
32768,0.000069,1.89959420289855072463
65536,0.000138,1.89959420289855072463
131072,0.000276,1.89959420289855072463
262144,0.000552,1.89959420289855072463
524288,0.001150,1.82361043478260869565
1048576,0.002323,1.80555488592337494619
2097152,0.004521,1.85547622207476222074
4194304,0.009094,1.84486650538816802287
8388608,0.017867,1.87801152963564112609
16777216,0.035398,1.89583773094525114413
33554432,0.070253,1.91049105376282863365
67108864,0.140902,1.90512168741394728250
134217728,0.281904,1.90444588228616834099
268435456,0.568117,1.89000122157935777313
536870912,1.135005,1.89204774252095805745
1073741824,2.270872,1.89132954037039516097
