Size,Time[s],Throughput[GB/s]
32768,0.000069,1.89959420289855072463
65536,0.000138,1.89959420289855072463
131072,0.000276,1.89959420289855072463
262144,0.000582,1.80167697594501718213
524288,0.001150,1.82361043478260869565
1048576,0.002340,1.79243760683760683760
2097152,0.004475,1.87454927374301675977
4194304,0.008926,1.87958951377996863096
8388608,0.017547,1.91226032940103721433
16777216,0.035354,1.89819720540815749278
33554432,0.070247,1.91065423434452716842
67108864,0.144553,1.85700370106466140446
134217728,0.287604,1.86670182612202890084
268435456,0.569143,1.88659409673842953352
536870912,1.134725,1.89251461631672872281
1073741824,2.280935,1.88298539677807565757
