Size,Time[s],Throughput[GB/s]
32768,0.000002,65.53600000000000000000
65536,0.000003,87.38133333333333333333
131072,0.000005,104.85760000000000000000
262144,0.000010,104.85760000000000000000
524288,0.012469,.16818926938808244446
1048576,0.000045,93.20675555555555555555
2097152,0.000111,75.57304504504504504504
4194304,0.000489,34.30923517382413087934
8388608,0.001150,29.17776695652173913043
16777216,0.002109,31.82022949265054528212
33554432,0.003218,41.70843008079552517091
67108864,0.012110,22.16642906688687035507
134217728,0.023790,22.56708331231609920134
268435456,0.045127,23.79377809293770913200
536870912,0.087350,24.58481566113337149398
1073741824,0.171921,24.98221448223311869986
