Size,Time[s],Throughput[GB/s]
32768,0.002739,.04785396129974443227
65536,0.017294,.01515808951081299872
131072,0.007148,.07334750979294907666
262144,0.009115,.11503850795392210641
524288,0.006986,.30019352991697681076
1048576,0.006421,.65321663292322068213
2097152,0.009199,.91190433742798130231
4194304,0.011151,1.50454811227692583624
8388608,0.018295,1.83407663295982508882
16777216,0.034016,1.97286171213546566321
33554432,0.078484,1.71012853575251006574
67108864,0.096014,2.79579494657029183244
134217728,0.299013,1.79547682542230605358
268435456,0.392039,2.73886481702075558809
536870912,0.698036,3.07646546596450612862
1073741824,1.855399,2.31484834043782496379
