Size,Time[s],Throughput[GB/s]
32768,0.002962,.04425118163403106009
65536,0.003270,.08016636085626911314
131072,0.002992,.17522994652406417112
262144,0.003464,.30270669745958429561
524288,0.004010,.52298054862842892768
1048576,0.009197,.45605132108296183538
2097152,0.012652,.66302624091052797976
4194304,0.016286,1.03016185680952965737
8388608,0.022311,1.50394119492626955313
16777216,0.057079,1.17571898596681791902
33554432,0.107465,1.24894363746336016377
67108864,0.154696,1.73524497078140352691
134217728,0.422440,1.27088086355458763374
268435456,0.706404,1.52001096256533088714
536870912,0.975439,2.20155606655054800966
1073741824,2.347754,1.82939409154451445935
