Size,Time[s],Throughput[GB/s]
32768,0.000049,2.67493877551020408163
65536,0.000064,4.09600000000000000000
131072,0.000118,4.44311864406779661016
262144,0.000202,5.19097029702970297029
524288,0.000379,5.53338258575197889182
1048576,0.000760,5.51882105263157894736
2097152,0.001465,5.72601228668941979522
4194304,0.002918,5.74955997258396161754
8388608,0.006250,5.36870912000000000000
16777216,0.011573,5.79874397304069817679
33554432,0.023063,5.81961271300351211897
67108864,0.043874,6.11832648037562109677
134217728,0.092766,5.78736726818015221093
268435456,0.187950,5.71291207235967012503
536870912,0.379395,5.66028452668063627617
1073741824,0.754030,5.69601646618834794371
