Size,Time[s],Throughput[GB/s]
32768,0.000897,.14612263099219620958
65536,0.000879,.29822980659840728100
131072,0.001096,.47836496350364963503
262144,0.001221,.85878460278460278460
524288,0.001482,1.41508232118758434547
1048576,0.002229,1.88169762225213100044
2097152,0.001918,4.37362252346193952033
4194304,0.006656,2.52061538461538461538
8388608,0.005929,5.65937459942654747849
16777216,0.021991,3.05165131190032285935
33554432,0.020883,6.42712866925250203514
67108864,0.086208,3.11381143281365998515
134217728,0.134063,4.00461657578899472635
268435456,0.300232,3.57637368435076873884
536870912,0.610479,3.51770273506541584559
1073741824,0.595488,7.21251695416196464076
2147483648,2.862142,3.00122586230871843535
4294967296,6.063212,2.83346008419299869442
