Size,Time[s],Throughput[GB/s]
32768,0.000011,11.91563636363636363636
65536,0.000013,20.16492307692307692307
131072,0.000043,12.19274418604651162790
262144,0.000026,40.32984615384615384615
524288,0.000042,49.93219047619047619047
1048576,0.000099,42.36670707070707070707
2097152,0.000151,55.55369536423841059602
4194304,0.000310,54.12005161290322580645
8388608,0.000600,55.92405333333333333333
16777216,0.001230,54.56005203252032520325
33554432,0.003118,43.04609621552277100705
67108864,0.004986,53.83783714400320898515
134217728,0.009719,55.23931597901018623315
268435456,0.019431,55.25921589213113066749
536870912,0.050273,42.71644119109661249577
1073741824,0.091504,46.93748137786326280818
