Size,Time[s],Throughput[GB/s]
32768,0.000002,65.53600000000000000000
65536,0.000003,87.38133333333333333333
131072,0.000005,104.85760000000000000000
262144,0.000010,104.85760000000000000000
524288,0.000021,99.86438095238095238095
1048576,0.000045,93.20675555555555555555
2097152,0.000110,76.26007272727272727272
4194304,0.000478,35.09877824267782426778
8388608,0.001167,28.75272664952870608397
16777216,0.002090,32.10950430622009569377
33554432,0.003272,41.02008801955990220048
67108864,0.012024,22.32497139055222887558
134217728,0.027651,19.41596730678818125926
268435456,0.045179,23.76639199628145819960
536870912,0.087406,24.56906445781754112989
1073741824,0.172159,24.94767799534151569188
