Size,Time[s],Throughput[GB/s]
32768,0.000236,.55538983050847457627
65536,0.000291,.90083848797250859106
131072,0.000344,1.52409302325581395348
262144,0.000540,1.94180740740740740740
524288,0.000888,2.36165765765765765765
1048576,0.001573,2.66643610934520025429
2097152,0.003822,2.19482155939298796441
4194304,0.006270,2.67579202551834130781
8388608,0.009658,3.47426299440878028577
16777216,0.015544,4.31734843026248069994
33554432,0.027449,4.88971284928412692629
67108864,0.055075,4.87399829323649568769
134217728,0.091292,5.88081006002716557858
268435456,0.157511,6.81693230314073302816
536870912,0.320156,6.70761643698696885268
1073741824,0.440611,9.74775322449961530692
