Size,Time[s],Throughput[GB/s]
32768,0.002575,.05090174757281553398
65536,0.003244,.08080887792848335388
131072,0.003422,.15321098772647574517
262144,0.003055,.34323273322422258592
524288,0.005320,.39420150375939849624
1048576,0.005279,.79452623602955105133
2097152,0.014161,.59237398488807287620
4194304,0.014720,1.13975652173913043478
8388608,0.028852,1.16298461111881325384
16777216,0.053546,1.25329369140552048705
33554432,0.095123,1.41099132701870210148
67108864,0.275561,.97414168187805966736
134217728,0.310619,1.72839044617360818237
268435456,0.801992,1.33884355953675348382
536870912,1.049826,2.04556150066772969996
1073741824,2.145241,2.00209081217448296018
