Size,Time[s],Throughput[GB/s]
32768,0.000066,1.98593939393939393939
65536,0.000083,3.15836144578313253012
131072,0.000122,4.29744262295081967213
262144,0.000202,5.19097029702970297029
524288,0.000339,6.18628908554572271386
1048576,0.000617,6.79789951377633711507
2097152,0.001207,6.94996520298260149130
4194304,0.002345,7.15446311300639658848
8388608,0.004771,7.03299769440368895409
16777216,0.009111,7.36569684996158489737
33554432,0.018438,7.27940817876125393209
67108864,0.105910,2.53456194882447360966
134217728,0.073241,7.33019636542373807020
268435456,0.146546,7.32699510051451421396
536870912,0.289905,7.40754263638088339283
1073741824,0.593912,7.23165602984953999919
