Size,Time[s],Throughput[GB/s]
32768,0.000819,.16003907203907203907
65536,0.001095,.23940091324200913242
131072,0.000953,.55014480587618048268
262144,0.001106,.94807956600361663652
524288,0.001608,1.30419900497512437810
1048576,0.001438,2.91676216968011126564
2097152,0.003758,2.23220010643959552953
4194304,0.005885,2.85084384027187765505
8388608,0.005800,5.78524689655172413793
16777216,0.020267,3.31123817042482853900
33554432,0.043444,3.08944222447288463309
67108864,0.077579,3.46015617628481934544
134217728,0.076327,7.03382698127792262240
268435456,0.324044,3.31356798459468467245
536870912,0.501109,4.28546214097132559981
1073741824,1.433325,2.99650623271065529450
