X,Y,Z,Timesteps,Radius,Time[s],Throughput[GB/s]
32,32,32,5,2,0.013259555100,0.049425489397
64,32,32,5,2,0.015784960400,0.083036001788
64,64,32,5,2,0.021138250400,0.124014048012
64,64,64,5,2,0.057192269400,0.091671130644
128,64,64,5,2,0.033827034000,0.309981655501
128,128,64,5,2,0.058813929000,0.356574035379
128,128,128,5,2,0.055297658500,0.758495768858
256,128,128,5,2,0.092364890500,0.908203101264
256,256,128,5,2,0.472109630400,0.355366951227
256,256,256,5,2,0.446248628300,0.751922356105
512,256,256,5,2,0.919708728300,0.729675188840
512,512,256,5,2,1.455948710800,0.921857528390
512,512,512,5,2,1.842903702400,1.456589704879
