X,Y,Z,Timesteps,Radius,Time[s],Throughput[GB/s]
32,32,32,5,2,0.001976349200,0.331601318229
64,32,32,5,2,0.001949618500,0.672295631171
64,64,32,5,2,0.004699376200,0.557827228218
64,64,64,5,2,0.008347861000,0.628050706642
128,64,64,5,2,0.013793031900,0.760221543459
128,128,64,5,2,0.027370010300,0.766222583409
128,128,128,5,2,0.042803371200,0.979900386912
256,128,128,5,2,0.072267251400,1.160775847634
256,256,128,5,2,0.125699771600,1.334705368709
256,256,256,5,2,0.254225312800,1.319869828478
512,256,256,5,2,0.501549062900,1.338031888884
512,512,256,5,2,0.973587073100,1.378589873555
512,512,512,5,2,1.925606385900,1.394030773712
