X,Y,Z,Timesteps,Radius,Time[s],Throughput[GB/s]
32,32,32,5,2,0.000273123800,2.399497956604
64,32,32,5,2,0.000492615800,2.660734795758
64,64,32,5,2,0.000911521500,2.875894863698
64,64,64,5,2,0.001724106900,3.040925130570
128,64,64,5,2,0.003384338500,3.098318918158
128,128,64,5,2,0.006858140300,3.057901862988
128,128,128,5,2,0.013487689400,3.109727600934
256,128,128,5,2,0.026688578000,3.143145356040
256,256,128,5,2,0.063710401800,2.633355861209
256,256,256,5,2,0.117255595900,2.861648669511
512,256,256,5,2,0.225262117000,2.979145579103
512,512,256,5,2,0.708134585600,1.895370325491
512,512,512,5,2,0.904291603300,2.968461224459
